id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,age_certification_num,weighted_rating
tm151716,Cowspiracy: The Sustainability Secret,MOVIE,2014,,90,['documentation'],['US'],0,tt4344904,8.2,24845,0.0,7.896
ts22445,The Heirs,SHOW,2013,,59,"['drama', 'comedy', 'romance']",['KR'],1,tt3243098,7.5,10329,0.0,7.225
tm180599,The Haunting in Connecticut 2: Ghosts of Georgia,MOVIE,2013,R,101,"['horror', 'thriller', 'drama']",['US'],0,tt1457765,5.2,17170,5.0,5.669
ts20790,Young & Hungry,SHOW,2014,TV-14,21,"['comedy', 'drama', 'romance']",['US'],5,tt2084712,7.3,15627,4.0,7.151
tm167944,Berserk: The Golden Age Arc III - The Advent,MOVIE,2013,NC-17,110,"['fantasy', 'action', 'drama', 'horror', 'romance', 'animation']",['JP'],0,tt2358913,7.8,9942,6.0,7.395
tm149038,Bill Burr: I'm Sorry You Feel That Way,MOVIE,2014,,80,"['comedy', 'documentation']",['US'],0,tt3823690,8.3,7954,0.0,7.607
tm159362,A Haunted House 2,MOVIE,2014,R,86,"['comedy', 'horror', 'fantasy']",['US'],0,tt2828996,4.6,21514,5.0,5.145
tm172710,We Steal Secrets: The Story of WikiLeaks,MOVIE,2013,R,162,['documentation'],['US'],0,tt1824254,6.9,7873,5.0,6.862
tm174289,Free Birds,MOVIE,2013,PG,91,"['comedy', 'family', 'scifi', 'animation']",['US'],0,tt1621039,5.8,23917,2.0,6.031
tm187390,The Square,MOVIE,2013,,88,"['drama', 'history', 'documentation']","['GB', 'US', 'EG']",0,tt2486682,8.1,8949,0.0,7.538
tm147913,PK,MOVIE,2014,PG-13,153,"['comedy', 'drama', 'romance', 'fantasy', 'scifi']",['IN'],0,tt2338151,8.2,178012,3.0,8.148
tm170919,Underdogs,MOVIE,2013,PG,106,"['romance', 'drama', 'documentation', 'sport', 'animation', 'family']","['AR', 'ES']",0,tt4382260,6.5,9535,2.0,6.635
tm138431,Virunga,MOVIE,2014,,90,"['war', 'documentation']","['CD', 'GB']",0,tt3455224,8.2,11403,0.0,7.675
tm176481,Chennai Express,MOVIE,2013,PG-13,141,"['romance', 'comedy', 'drama', 'action']",['IN'],0,tt2112124,6.1,53293,3.0,6.184
tm168685,The Berlin File,MOVIE,2013,,120,"['thriller', 'action']",['KR'],0,tt2357377,6.6,7103,0.0,6.709
tm182275,Omar,MOVIE,2013,,96,"['thriller', 'war', 'crime', 'drama', 'romance']",['PS'],0,tt2852406,7.5,14230,0.0,7.275
tm148910,Haider,MOVIE,2014,PG-13,150,"['drama', 'action', 'crime', 'thriller']",['IN'],0,tt3390572,8.1,54001,3.0,7.953
tm143363,2 States,MOVIE,2014,PG,149,"['comedy', 'drama', 'romance']",['IN'],0,tt2372678,6.9,25344,2.0,6.883
tm158980,Khoobsurat,MOVIE,2014,PG,130,"['comedy', 'romance']",['IN'],0,tt3554418,6.5,8330,2.0,6.646
tm155291,Highway,MOVIE,2014,PG-13,133,"['drama', 'crime', 'romance']",['IN'],0,tt2980794,7.6,28370,3.0,7.445
tm156811,Queen,MOVIE,2014,PG-13,146,"['drama', 'comedy']",['IN'],0,tt3322420,8.2,64805,3.0,8.065
